"Source Name","BLAKE3 Hash Digest","SIMD Tier","Threads Used","Execution Time (s)","Throughput (MB/s)","File Size (bytes)","Data Source"
f0158760.jpg,"6961d32d2f03002f8255916d96effc47dee80f4c6564e0112e8bf0fd6f8223c2",AVX-512,12,0.000517,35.984,19515,2011-10-19-Sample.E01
f0158712.jpg,"10cae79460efe8131ee6ec124d472b9c3ec2abf52829803259cd6d4e9c5024fb",AVX-512,12,0.000285,81.042,24219,2011-10-19-Sample.E01
f0158656.jpg,"96333ecaf360f640bbb43391a4b2b2e658ab53fc17f9b373a3a80fcb3d5d662d",AVX-512,12,0.000431,55.691,25157,2011-10-19-Sample.E01
f0158608.jpg,"52abfa39b24008e58ee4079c3f81e166bfb4d798d79607b819645d965de8dae9",AVX-512,12,0.000264,87.347,24134,2011-10-19-Sample.E01
f0158560.jpg,"8aad7398495d85f825df79f800041a7ea67070e7d0f8e9471552e38ddf6fbc1d",AVX-512,12,0.000318,71.153,23763,2011-10-19-Sample.E01
f0158512.jpg,"f6e4ff6dbd183e3390728e2f358a0c68ca8eb7200b0e83419e5869508ae4c12d",AVX-512,12,0.000293,74.171,22819,2011-10-19-Sample.E01
f0158464.jpg,"69f9f9847e58651e196802ab3eb06b227055bf6a8717a2fcf4fce5e7b346e3e2",AVX-512,12,0.00065,34.211,23321,2011-10-19-Sample.E01
f0158424.jpg,"b66839f7e03c13af1b241951aba0b82c22e8feabdf3083abcd0294aef6391519",AVX-512,12,0.000312,58.243,19079,2011-10-19-Sample.E01
f0158376.jpg,"9cf36dae132f32994f9cb4e492afcf28e6e4c5278d74a84f54a65a6ec06413d6",AVX-512,12,0.000238,92.446,23100,2011-10-19-Sample.E01
f0158344.jpg,"d0fb7a52670777c364211a0caea8505ba6d1ef6727f335ec6d43918178980b6c",AVX-512,12,0.00024,61.487,15493,2011-10-19-Sample.E01
f0158288.jpg,"3e443dbc7b2dad1a4f69633316b183a259a8fb36e4f877d36522b04e0017770b",AVX-512,12,0.000259,90.884,24730,2011-10-19-Sample.E01
f0158232.jpg,"a4673f6327f9bc2c9805272a9d476a5accfc0284a43e375ba8e806cf7ffad625",AVX-512,12,0.000251,94.093,24814,2011-10-19-Sample.E01
f0158184.jpg,"3da79d5eda42c501ea47bc629a4339e203fb56596eddf45302d363842b1b2fe6",AVX-512,12,0.000312,72.836,23844,2011-10-19-Sample.E01
f0158168.jpg,"3ed9cee7807ec8df31671d58842a052273536f7b97bd697258460434df9d337e",AVX-512,12,0.00025,28.553,7482,2011-10-19-Sample.E01
f0158144.jpg,"72b807065f0b23b4268681579d39dde9f3177f9c28393d094d4b798f1fb93a18",AVX-512,12,0.000257,36.03,9717,2011-10-19-Sample.E01
f0158096.jpg,"c9e21a87cee528ebe360d61133b76a92bb6a379601596d13fb89aa6ce5541577",AVX-512,12,0.00027,41.482,11753,2011-10-19-Sample.E01
f0158120.jpg,"b88b8a28d7dd3101a1fcb7eaf2ec8a5bf3a98d5e4fc919a7d3e6af5460d1414a",AVX-512,12,0.000251,44.363,11690,2011-10-19-Sample.E01
f0158056.jpg,"050960196560b1208760c8bb0538e6014701010a695c87d2cef5ddd6e9aa50dd",AVX-512,12,0.00025,67.181,17597,2011-10-19-Sample.E01
f0158032.jpg,"ace11e009606167d8d042ae2bd7811eb494245c5a1be8e9dcf2c1edc95c048ea",AVX-512,12,0.000286,39.442,11849,2011-10-19-Sample.E01
f0158008.jpg,"ed05b710ec6fda3d6d9a36fe0f228d8a27dd21b51c9eff5c07f425debc554df5",AVX-512,12,0.000261,31.828,8704,2011-10-19-Sample.E01
f0157968.jpg,"d42c2573e1a657bfcca9d337264a2cdcc97e7ba142034f15c64c87663a0e6e19",AVX-512,12,0.000216,81.882,18580,2011-10-19-Sample.E01
f0157928.jpg,"fa89ac60276556ccc39df631a097b61ee8bf1ebd614d33ce28504066d7994885",AVX-512,12,0.000232,76.92,18688,2011-10-19-Sample.E01
f0157888.jpg,"43dd76c04f1f14a22a7fa8fedfac937589fa9b25a43155b49e3cefdf5b11d1aa",AVX-512,12,0.000232,75.728,18454,2011-10-19-Sample.E01
f0157848.jpg,"2ba6e81ca2948eedb30b096f86b4b0c6ca75af8fa16acdb228f5ed954106727a",AVX-512,12,0.000215,84.49,19030,2011-10-19-Sample.E01
f0157808.jpg,"0f5b427ad8ed1532c7b958e6427f44449c82d64d3fe18f45992e0f90366738c6",AVX-512,12,0.000432,41.464,18774,2011-10-19-Sample.E01
f0157784.jpg,"0f2107fbd13b2d5097c05cbfe9322ae02f5c09c361e45d95f9150f9d1a58ff48",AVX-512,12,0.000227,39.221,9352,2011-10-19-Sample.E01
f0157744.jpg,"979edc1ba262e7bfb1df71d62eeba23a025c4fa0c18473985fd9e6291832020d",AVX-512,12,0.000275,66.861,19280,2011-10-19-Sample.E01
f0157704.jpg,"7f0219279576d65a47ad9e5a287c12502919f07bd2db9de28275622795fbf171",AVX-512,12,0.000223,75.354,17628,2011-10-19-Sample.E01
f0157680.jpg,"c9286fcf9742d0169cf1e7c2369f01b5fdd13145693790c78eed9c2ef1762b21",AVX-512,12,0.000227,43.552,10362,2011-10-19-Sample.E01
f0157640.jpg,"9c77a63d4a82ee7a917ec9ccbae787e48a5e74b3191bff03284f7cd5e2bcb162",AVX-512,12,0.000261,72.627,19884,2011-10-19-Sample.E01
f0157600.jpg,"9509a0baf1f32ec4032f72477bb5ea3203af83f639e3978ce508f7aa68c63fbe",AVX-512,12,0.00025,70.465,18509,2011-10-19-Sample.E01
f0157592.jpg,"43eac0def263fcae34f8ffc9466ca7b79da4c936c1f5b00dd245013dab7d5d23",AVX-512,12,0.000221,11.42,2650,2011-10-19-Sample.E01
f0157552.jpg,"4566b1ef45a6d3eb6f2021e15e11d9ab4d5334f096c0c47ce612588a876d928b",AVX-512,12,0.000231,69.77,16929,2011-10-19-Sample.E01
f0157536.jpg,"c27039c00d0d807e3017d4566b4c2da64eb9e2b6811147ccf1653194dc8ff381",AVX-512,12,0.000219,34.57,7953,2011-10-19-Sample.E01
f0157512.jpg,"1d6b18b7ac22de98a8f32f434cac41147bc2d1f5f3f8a185216b65114f4ef739",AVX-512,12,0.000206,42.165,9099,2011-10-19-Sample.E01
f0157480.jpg,"3911f55381712757d1e654e996ed89aa427c48beefa3af3e4f0e973efbc1d5fd",AVX-512,12,0.000275,47.514,13696,2011-10-19-Sample.E01
f0157456.jpg,"cbc56ff569e9b32abeccfa4515b5639357f01217f5da49b250ef6744607222df",AVX-512,12,0.000269,35.576,10020,2011-10-19-Sample.E01
f0157408.jpg,"115dae0fe3c98f4c3a4ec1a5d20d5d83955ed5ba07d6aea812e4641285341a9c",AVX-512,12,0.000303,66.575,21138,2011-10-19-Sample.E01
f0157360.jpg,"919427558aaf47572eee42797e922cecfd2dbd3a0b1b93d56f8c497e48e62d8f",AVX-512,12,0.000448,46.528,21857,2011-10-19-Sample.E01
f0157320.jpg,"98d9c3a9203417da0a3150c2c50671a15fffe630d5b76c2b332ebb378ddc77ab",AVX-512,12,0.000481,38.982,19661,2011-10-19-Sample.E01
f0157280.jpg,"480f62893c8b689b9f8e7cc21ef678e26435585d2ddd13e5831e78fc818c991f",AVX-512,12,0.000227,81.096,19269,2011-10-19-Sample.E01
f0157232.jpg,"32a70af321f495aec53744f2ec3ba91b621f4fd3d8af6d1bf7485d45994b3161",AVX-512,12,0.000844,24.056,21279,2011-10-19-Sample.E01
f0157208.jpg,"8cc4efc607160960d7acdaa49b11df423842ab78eebfcd727316f3895a307ed8",AVX-512,12,0.00031,31.11,10119,2011-10-19-Sample.E01
f0157160.jpg,"eb3b811b9833ce067850a277b3f7aa8264c885d604362b6030218ae3a04c275a",AVX-512,12,0.000216,98.855,22390,2011-10-19-Sample.E01
f0157112.jpg,"8d77f08afb7696b9c6d3eb57f2c647e1abb767b183db2fd496e6bb69cb9a69e7",AVX-512,12,0.000287,73.082,22024,2011-10-19-Sample.E01
f0157064.jpg,"dc7e2966b8388002ffd01966d889a0f9bd0bed8a389117eae0ea7e89a1ebadb5",AVX-512,12,0.000231,91.829,22291,2011-10-19-Sample.E01
